spread;promotion
removal;uninstall
remove;uninstall
karmic;9.1
lucid;10.04
hardy;8.04
recommendations;tips
maverick;10.1
unr;ubuntu-netbook-remix
netbook;ubuntu-netbook
netbook-edition;ubuntu-netbook
ubuntu-netbook-remix;ubuntu-netbook
flash-player;flash
i18n;internationalization
upgrades;upgrade
livecd;live-cd
dual-screen;multiple-monitors
natty;11.04
gaming;games
utouch;multi-touch
partition;partitioning
addon;plugins
add-ons;plugins
daemon;services
manual;documentation
poweroff;shutdown
system-wide;system
software-recommendations;software-recommendation
font;fonts
bandwith;bandwidth
audio;sound
ubuntu-server;server
splash-screen;plymouth
splash;plymouth
boot-screen;plymouth
flash-drive;usb-drive
package-manager;package-management
ubuntuone;ubuntu-one
compile;compiling
commands;command-line
repositories;repository
wifi;wireless
installing;installation
install;installation
installer;installation
windows-active-directory;active-directory
x;xorg
sound-problem;sound
oneiric;11.1
oneric;11.1
amd64;64-bit
printer;printing
deivatives;derivatives
firefox-4;firefox
kubuntu-desktop;kubuntu
classic;gnome
firefox-5;firefox
fontconfig;fonts
passwords;password
file-extension;file-format
cli;command-line
lampp;lamp
package;packages
keybindings;shortcut-keys
lense;lenses
bzr;bazaar
monitor-resolution;resolution
processes;process
ensemble;juju
acpid;acpi
efi;uefi
locales;locale
shortcut;shortcuts
precise-pangolin;12.04
keyboard-shortcut;shortcut-keys
hdd;hard-drive
.deb;deb
hardware-reccomendation;hardware-recommendation
printer-driver;printing
kernel-panic;kernel
firefox-nightly;firefox
network;networking
flash-plugin;flash
flashplugin-installer;flash
flashplugin-nonfree;flash
font-rendering;fonts
kindle-fire;kindle
kernel-option;kernel
crashes;crash
nvidia-current;nvidia
installation-problem;installation
release;release-management
apt-get;apt
ion;nvidia
unity-hud;hud
asterix;asterisk
theme;themes
ubuntu-software-center;software-center
kernel-modules;kernel
build;compiling
systray;system-tray
apache;apache2
apache-tomcat;tomcat
virtual-machine;virtualization
cron-jobs;cron
crontab;cron
silverlight;moonlight
torrent;bittorrent
multiboot;dual-boot
grub-error;grub2
a11y;accessibility
osx;macosx
php5;php
apport-gtk;apport
ubuntu-one-music-store;ubuntu-one
ssh-keys;ssh
application-review-board;application-submission
update;updates
folder;directory
folders;directory
directories;directory
suspend-resume;suspend
connections;connection
grub;grub2
encrypted-partition;encryption
precise;12.04
keyboard-shortcuts;shortcut-keys
key-bindings;shortcut-keys
key-combination;shortcut-keys
sound-menu;indicator-sound
wireless-n;wireless
plugin;plugins
file;files
wlan;wireless
gnome-fallback;gnome-classic
script;scripts
broken-packages;package-management
vlc-player;vlc
quantal;12.1
x64;64-bit
64;64-bit
32;32-bit
i386;32-bit
12.04lts;12.04
download;downloads
vista;windows-vista
home;home-directory
chrome;google-chrome
intallation;installation
symlink;symbolic-link
game;games
icon;icons
power;power-management
indicator-power;indicator
indicator-session;indicator
indicator-datetime;indicator
indicator-network;indicator
indicator-weather;indicator
indicator-applet-session;indicator
applications-menu;appmenu
.bash-history;bash
teaching;education
screen-resolution;resolution
xp;windows-xp
nagios;nagios3
re-installation;installation
appindicator;indicator
libvirt;virtualization
driver;drivers
nm-applet;network-manager
winxp;windows-xp
upgrading;upgrade
amd;ati
amd-graphics;ati
ubuntu-12.04;12.04
radio;internet-radio
release-upgrade;upgrade
sudoers;sudo
shortcuts-keys;shortcut-keys
shell;command-line
sources.list;software-sources
terminal;command-line
gnome3;gnome
gnome-shell;gnome
vbox;virtualbox
vt-x;virtualization
charms;juju
recover;recovery
version;versions
12.04.1;12.04
libreoffice-calc;libreoffice
libreoffice-writer;libreoffice
libreoffice-impress;libreoffice
impress;libreoffice
pendrive;usb-drive
cups;printing
boot-failure;boot
fontsize;fonts
home-server;server
sshd;ssh
mainline-kernel;kernel
gnome-shell-extension;gnome
unity-launcher-api;unity
proposed-updates;updates
booting;boot
share;sharing
memory;ram
utc-time;time
qa;quality
quality-assurance;quality
x11;xorg
ubuntu-for-phones;ubuntu-touch
ubuntu-phone;ubuntu-touch
dev;development
installation-failure;installation
internet-connection;internet
dist-upgrade;upgrade
app-install;installation
version-upgrade;upgrade
unity-3d;unity
raring;13.04
mobile;ubuntu-touch
nautilus-3.6;nautilus
mythbuntu;mythtv
vsftp;vsftpd
dependency;dependencies
bootable-usb;live-usb
hundredpapercuts;one-hundred-paper-cuts
user-accounts;users
ubuntu-bug;bug-reporting
switchers;workspace-switcher
synchronize;sync
saucy;13.1
lens;lenses
software-updater;update-manager
space;disk-usage
12.04.2;12.04
file-size;files
setup;installation
ubuntu13.04;13.04
remote-control;remote
man;manpage
xubuntu-desktop;xubuntu
sleep;suspend
12.04.3;12.04
xfce4;xfce
root-permission;permissions
trusty;14.04
gpg;gnupg
rights;permissions
modules;drivers
triple-boot;dual-boot
viruses;malware
pesistence;persistent
dpkg;dependencies
install-from-source;software-installation
php-5.4;php
minimal;ubuntu-minimal
touch;ubuntu-touch
reboot;restart
12.04.4;12.04
xserver;xorg
command;command-line
right-to-left;rtl
